subscriber_no,service_type,timestamp,quantity
5551000001,VOICE,2026-07-01T09:15:00,18000
5551000001,VOICE,2026-07-14T18:30:00,15000
5551000001,SMS,2026-07-05T12:00:00,250
5551000001,DATA,2026-07-20T21:45:00,2200000
5551000002,VOICE,2026-07-03T10:00:00,6000
5551000002,SMS,2026-07-08T14:20:00,50
5551000002,DATA,2026-07-19T20:10:00,500000
5551000003,VOICE,2026-07-02T08:00:00,40000
5551000003,SMS,2026-07-11T16:00:00,300
5551000003,DATA,2026-07-22T22:00:00,50000000
5552000001,VOICE,2026-07-04T11:00:00,20000
5552000001,SMS,2026-07-09T09:30:00,100
5552000001,DATA,2026-07-18T19:00:00,30000000
5559000001,VOICE,2026-07-01T08:00:00,600
5559000001,SMS,2026-07-01T09:00:00,5
5559000001,DATA,2026-07-01T10:00:00,51200
5559000001,DATA,2026-07-02T10:00:00,512000
5559000001,VOICE,2026-07-03T10:00:00,12000
